NW_019174424.1	BDQW01000169.1
NW_019174425.1	BDQW01000170.1
NW_019174426.1	BDQW01000171.1
NW_019174427.1	BDQW01000172.1
NW_019174428.1	BDQW01000173.1
NW_019174429.1	BDQW01000174.1
NW_019174430.1	BDQW01000175.1
NW_019174431.1	BDQW01000176.1
NW_019174432.1	BDQW01000177.1
NW_019174433.1	BDQW01000178.1
NW_019174434.1	BDQW01000179.1
NW_019174435.1	BDQW01000180.1
NW_019174436.1	BDQW01000181.1
NW_019174437.1	BDQW01000182.1
NW_019174438.1	BDQW01000183.1
NW_019174439.1	BDQW01000184.1
NW_019174440.1	BDQW01000185.1
NW_019174441.1	BDQW01000186.1
NW_019174442.1	BDQW01000187.1
NW_019174443.1	BDQW01000188.1
NW_019174444.1	BDQW01000189.1
NW_019174445.1	BDQW01000190.1
NW_019174446.1	BDQW01000191.1
NW_019174447.1	BDQW01000192.1
NW_019174448.1	BDQW01000193.1
NW_019174449.1	BDQW01000194.1
NW_019174450.1	BDQW01000195.1
NW_019174451.1	BDQW01000196.1
NW_019174452.1	BDQW01000197.1
NW_019174453.1	BDQW01000198.1
NW_019174454.1	BDQW01000199.1
NW_019174455.1	BDQW01000200.1
NW_019174456.1	BDQW01000201.1
NW_019174457.1	BDQW01000202.1
NW_019174458.1	BDQW01000203.1
NW_019174459.1	BDQW01000204.1
NW_019174460.1	BDQW01000205.1
NW_019174461.1	BDQW01000206.1
NW_019174462.1	BDQW01000207.1
NW_019174463.1	BDQW01000208.1
NW_019174464.1	BDQW01000209.1
NW_019174465.1	BDQW01000210.1
NW_019174466.1	BDQW01000211.1
NW_019174467.1	BDQW01000212.1
NW_019174468.1	BDQW01000213.1
NW_019174469.1	BDQW01000214.1
NW_019174470.1	BDQW01000215.1
NW_019174471.1	BDQW01000216.1
NW_019174472.1	BDQW01000217.1
NW_019174473.1	BDQW01000218.1
NW_019174474.1	BDQW01000219.1
NW_019174475.1	BDQW01000220.1
NW_019174476.1	BDQW01000221.1
NW_019174477.1	BDQW01000222.1
NW_019174478.1	BDQW01000223.1
NW_019174479.1	BDQW01000224.1
NW_019174480.1	BDQW01000225.1
NW_019174481.1	BDQW01000226.1
NW_019174482.1	BDQW01000227.1
NW_019174483.1	BDQW01000228.1
NW_019174484.1	BDQW01000229.1
NW_019174485.1	BDQW01000230.1
NW_019174486.1	BDQW01000231.1
NW_019174487.1	BDQW01000232.1
NW_019174488.1	BDQW01000233.1
NW_019174489.1	BDQW01000234.1
NW_019174490.1	BDQW01000235.1
NW_019174491.1	BDQW01000236.1
NW_019174492.1	BDQW01000237.1
NW_019174493.1	BDQW01000238.1
NW_019174494.1	BDQW01000239.1
NW_019174495.1	BDQW01000240.1
NW_019174496.1	BDQW01000241.1
NW_019174497.1	BDQW01000242.1
NW_019174498.1	BDQW01000243.1
NW_019174499.1	BDQW01000244.1
NW_019174500.1	BDQW01000245.1
NW_019174501.1	BDQW01000246.1
NW_019174502.1	BDQW01000247.1
NW_019174503.1	BDQW01000248.1
NW_019174504.1	BDQW01000249.1
NW_019174505.1	BDQW01000250.1
NW_019174506.1	BDQW01000251.1
NW_019174507.1	BDQW01000252.1
NW_019174508.1	BDQW01000253.1
NW_019174509.1	BDQW01000254.1
NW_019174510.1	BDQW01000255.1
NW_019174511.1	BDQW01000256.1
NW_019174512.1	BDQW01000257.1
NW_019174513.1	BDQW01000258.1
NW_019174514.1	BDQW01000259.1
NW_019174515.1	BDQW01000260.1
NW_019174516.1	BDQW01000261.1
NW_019174517.1	BDQW01000262.1
NW_019174518.1	BDQW01000263.1
NW_019174519.1	BDQW01000264.1
NW_019174520.1	BDQW01000265.1
NW_019174521.1	BDQW01000266.1
NW_019174522.1	BDQW01000267.1
NW_019174523.1	BDQW01000268.1
NW_019174524.1	BDQW01000269.1
NW_019174525.1	BDQW01000270.1
NW_019174526.1	BDQW01000271.1
NW_019174527.1	BDQW01000272.1
NW_019174528.1	BDQW01000273.1
NW_019174529.1	BDQW01000274.1
NW_019174530.1	BDQW01000275.1
NW_019174531.1	BDQW01000276.1
NW_019174532.1	BDQW01000277.1
NW_019174533.1	BDQW01000278.1
NW_019174534.1	BDQW01000279.1
NW_019174535.1	BDQW01000280.1
NW_019174536.1	BDQW01000281.1
NW_019174537.1	BDQW01000282.1
NW_019174538.1	BDQW01000283.1
NW_019174539.1	BDQW01000284.1
NW_019174540.1	BDQW01000285.1
NW_019174541.1	BDQW01000286.1
NW_019174542.1	BDQW01000287.1
NW_019174543.1	BDQW01000288.1
NW_019174544.1	BDQW01000289.1
NW_019174545.1	BDQW01000290.1
NW_019174546.1	BDQW01000291.1
NW_019174547.1	BDQW01000292.1
NW_019174548.1	BDQW01000293.1
NW_019174549.1	BDQW01000294.1
NW_019174550.1	BDQW01000295.1
NW_019174551.1	BDQW01000296.1
NW_019174552.1	BDQW01000297.1
NW_019174553.1	BDQW01000298.1
NW_019174554.1	BDQW01000299.1
NW_019174555.1	BDQW01000300.1
NW_019174556.1	BDQW01000301.1
NW_019174557.1	BDQW01000302.1
NW_019174558.1	BDQW01000303.1
NW_019174559.1	BDQW01000304.1
NW_019174560.1	BDQW01000305.1
NW_019174561.1	BDQW01000306.1
NW_019174562.1	BDQW01000307.1
NW_019174563.1	BDQW01000308.1
NW_019174564.1	BDQW01000309.1
NW_019174565.1	BDQW01000310.1
NW_019174566.1	BDQW01000311.1
NW_019174567.1	BDQW01000312.1
NW_019174568.1	BDQW01000313.1
NW_019174569.1	BDQW01000314.1
NW_019174570.1	BDQW01000315.1
NW_019174571.1	BDQW01000316.1
NW_019174572.1	BDQW01000317.1
NW_019174573.1	BDQW01000318.1
NW_019174574.1	BDQW01000319.1
NW_019174575.1	BDQW01000320.1
NW_019174576.1	BDQW01000321.1
NW_019174577.1	BDQW01000322.1
NW_019174578.1	BDQW01000323.1
NW_019174579.1	BDQW01000324.1
NW_019174580.1	BDQW01000325.1
NW_019174581.1	BDQW01000326.1
NW_019174582.1	BDQW01000327.1
NW_019174583.1	BDQW01000328.1
NW_019174584.1	BDQW01000329.1
NW_019174585.1	BDQW01000330.1
NW_019174586.1	BDQW01000331.1
NW_019174587.1	BDQW01000332.1
NW_019174588.1	BDQW01000333.1
NW_019174589.1	BDQW01000334.1
NW_019174590.1	BDQW01000335.1
NW_019174591.1	BDQW01000336.1
NW_019174592.1	BDQW01000337.1
NW_019174593.1	BDQW01000338.1
NW_019174594.1	BDQW01000339.1
NW_019174595.1	BDQW01000340.1
NW_019174596.1	BDQW01000341.1
NW_019174597.1	BDQW01000342.1
NW_019174598.1	BDQW01000343.1
NW_019174599.1	BDQW01000344.1
NW_019174600.1	BDQW01000345.1
NW_019174601.1	BDQW01000346.1
NW_019174602.1	BDQW01000347.1
NW_019174603.1	BDQW01000348.1
NW_019174604.1	BDQW01000349.1
NW_019174605.1	BDQW01000350.1
NW_019174606.1	BDQW01000351.1
NW_019174607.1	BDQW01000352.1
NW_019174608.1	BDQW01000353.1
NW_019174609.1	BDQW01000354.1
NW_019174610.1	BDQW01000355.1
NW_019174611.1	BDQW01000356.1
NW_019174612.1	BDQW01000357.1
NW_019174613.1	BDQW01000358.1
NW_019174614.1	BDQW01000359.1
NW_019174615.1	BDQW01000360.1
NW_019174616.1	BDQW01000361.1
NW_019174617.1	BDQW01000362.1
NW_019174618.1	BDQW01000363.1
NW_019174619.1	BDQW01000364.1
NW_019174620.1	BDQW01000365.1
NW_019174621.1	BDQW01000366.1
NW_019174622.1	BDQW01000367.1
NW_019174623.1	BDQW01000368.1
NW_019174624.1	BDQW01000369.1
NW_019174625.1	BDQW01000370.1
NW_019174626.1	BDQW01000371.1
NW_019174627.1	BDQW01000372.1
NW_019174628.1	BDQW01000373.1
NW_019174629.1	BDQW01000374.1
NW_019174630.1	BDQW01000375.1
NW_019174631.1	BDQW01000376.1
NW_019174632.1	BDQW01000377.1
NW_019174633.1	BDQW01000378.1
NW_019174634.1	BDQW01000379.1
NW_019174635.1	BDQW01000380.1
NW_019174636.1	BDQW01000381.1
NW_019174637.1	BDQW01000382.1
NW_019174638.1	BDQW01000383.1
NW_019174639.1	BDQW01000384.1
NW_019174640.1	BDQW01000385.1
NW_019174641.1	BDQW01000386.1
NW_019174642.1	BDQW01000387.1
NW_019174643.1	BDQW01000388.1
NW_019174644.1	BDQW01000389.1
NW_019174645.1	BDQW01000390.1
NW_019174646.1	BDQW01000391.1
NW_019174647.1	BDQW01000392.1
NW_019174648.1	BDQW01000393.1
NW_019174649.1	BDQW01000394.1
NW_019174650.1	BDQW01000395.1
NW_019174651.1	BDQW01000396.1
NW_019174652.1	BDQW01000397.1
NW_019174653.1	BDQW01000398.1
NW_019174654.1	BDQW01000399.1
NW_019174655.1	BDQW01000400.1
NW_019174656.1	BDQW01000401.1
NW_019174657.1	BDQW01000402.1
NW_019174658.1	BDQW01000403.1
NW_019174659.1	BDQW01000404.1
NW_019174660.1	BDQW01000405.1
NW_019174661.1	BDQW01000406.1
NW_019174662.1	BDQW01000407.1
NW_019174663.1	BDQW01000408.1
NW_019174664.1	BDQW01000409.1
NW_019174665.1	BDQW01000410.1
NW_019174666.1	BDQW01000411.1
NW_019174667.1	BDQW01000412.1
NW_019174668.1	BDQW01000413.1
NW_019174669.1	BDQW01000414.1
NW_019174670.1	BDQW01000415.1
NW_019174671.1	BDQW01000416.1
NW_019174672.1	BDQW01000417.1
NW_019174673.1	BDQW01000418.1
NW_019174674.1	BDQW01000419.1
NW_019174675.1	BDQW01000420.1
NW_019174676.1	BDQW01000421.1
NW_019174677.1	BDQW01000422.1
NW_019174678.1	BDQW01000423.1
NW_019174679.1	BDQW01000424.1
NW_019174680.1	BDQW01000425.1
NW_019174681.1	BDQW01000426.1
NW_019174682.1	BDQW01000427.1
NW_019174683.1	BDQW01000428.1
NW_019174684.1	BDQW01000429.1
NW_019174685.1	BDQW01000430.1
NW_019174686.1	BDQW01000431.1
NW_019174687.1	BDQW01000432.1
NW_019174688.1	BDQW01000433.1
NW_019174689.1	BDQW01000434.1
NW_019174690.1	BDQW01000435.1
NW_019174691.1	BDQW01000436.1
NW_019174692.1	BDQW01000437.1
NW_019174693.1	BDQW01000438.1
NW_019174694.1	BDQW01000439.1
NW_019174695.1	BDQW01000440.1
NW_019174696.1	BDQW01000441.1
NW_019174697.1	BDQW01000442.1
NW_019174698.1	BDQW01000443.1
NW_019174699.1	BDQW01000444.1
NW_019174700.1	BDQW01000445.1
NW_019174701.1	BDQW01000446.1
NW_019174702.1	BDQW01000447.1
NW_019174703.1	BDQW01000448.1
NW_019174704.1	BDQW01000449.1
NW_019174705.1	BDQW01000450.1
NW_019174706.1	BDQW01000451.1
NW_019174707.1	BDQW01000452.1
NW_019174708.1	BDQW01000453.1
NW_019174709.1	BDQW01000454.1
NW_019174710.1	BDQW01000455.1
NW_019174711.1	BDQW01000456.1
NW_019174712.1	BDQW01000457.1
NW_019174713.1	BDQW01000458.1
NW_019174714.1	BDQW01000459.1
NW_019174715.1	BDQW01000460.1
NW_019174716.1	BDQW01000461.1
NW_019174717.1	BDQW01000462.1
NW_019174718.1	BDQW01000463.1
NW_019174719.1	BDQW01000464.1
NW_019174720.1	BDQW01000465.1
NW_019174721.1	BDQW01000466.1
NW_019174722.1	BDQW01000467.1
NW_019174723.1	BDQW01000468.1
NW_019174724.1	BDQW01000469.1
NW_019174725.1	BDQW01000470.1
NW_019174726.1	BDQW01000471.1
NW_019174727.1	BDQW01000472.1
NW_019174728.1	BDQW01000473.1
NW_019174729.1	BDQW01000474.1
NW_019174730.1	BDQW01000475.1
NW_019174731.1	BDQW01000476.1
NW_019174732.1	BDQW01000477.1
NW_019174733.1	BDQW01000478.1
NW_019174734.1	BDQW01000479.1
NW_019174735.1	BDQW01000480.1
NW_019174736.1	BDQW01000481.1
